timestamp,response_id,topic,language,form_requested,is_escalated,user_question,assistant_answer
2026-08-09T19:51:50.233394+00:00,2888845b-ac5d-4389-bb6b-80dd615473f6,General Inquiry,en,None,False,What are the IRD office hours and contact details?,"**Office Hours and Contact Information**

The Inland Revenue Department (IRD) is available to assist you during the following times:

*   **Office Hours:** Monday to Friday, 8:00 a.m. to 3:00 p.m.
*   **Location:** Ground floor of the Former NBA Building, The Valley, Anguilla.
*   **Mailing Address:** P.O. Box 60, The Valley, Anguilla.
*   **Telephone:** 264-497-8334
*   **Email:** [inlandrevenue@gov.ai](mailto:inlandrevenue@gov.ai)

For further information, you may also visit the official [IRD Contact page](https://ird.gov.ai/Home/Contact)."
2026-08-09T22:59:33.378416+00:00,dd971ea9-af6e-46f4-8fad-3362bf9a9757,General Inquiry,en,None,False,hi,"您好！我是安圭拉税务局（Inland Revenue Department, IRD）的智能客服助手。我可以为您提供有关税务、牌照及相关服务的指导。

请问有什么我可以帮您的吗？例如：

*   **税务服务**：如商品及服务税 (GST)、通用服务税 (General Services Tax)、通用社会征费 (USL) 或财产税。
*   **牌照申请**：如商业牌照、酒类牌照或车辆牌照。
*   **在线服务**：如何注册或使用税务局在线门户网站。
*   **表格与指南**：如何查找所需的税务表格。

如果您有具体的问题，请随时告诉我。

*(请注意：出于隐私和安全考虑，我无法访问您的个人税务账户、余额或处理具体的申请。对于涉及账户的具体问题，建议您直接联系税务局。)*"
2026-08-10T02:10:45.391861+00:00,bfd6419a-5f00-4b09-85be-3fd6b2fdcc8d,General Inquiry,en,Application for Special Liquor Licence,False,hi theere,"Hello! I am the Inland Revenue Department (IRD) virtual assistant for Anguilla. I am here to help you with information regarding our services, such as:

*   **Tax Services:** Goods and Services Tax (GST), General Services Tax, Property Tax, and the Universal Social Levy (USL).
*   **Licensing:** Business and Liquor Licences, and Motor Vehicle or Driver's Licences.
*   **General Procedures:** How to register as a taxpayer, how to file returns, or how to access our online portal.

**How can I assist you today?**

*Please note: I cannot access your personal taxpayer records, verify your identity, or process payments. For account-specific enquiries, please contact the IRD directly.*"
2026-08-10T02:11:43.948224+00:00,a65c3e17-c1a3-4e08-bfea-c124a024e964,General Inquiry,en,None,True,Joe schinider,"Hello! I am the Inland Revenue Department (IRD) virtual assistant for Anguilla. 

I am unable to access personal taxpayer records or verify individual identities. If you are looking for assistance with a specific tax account, registration, or a personal enquiry, please contact the Inland Revenue Department directly:

*   **Telephone:** 264-497-8334
*   **Email:** inlandrevenue@gov.ai
*   **Office Location:** Ground floor of the Former NBA Building, The Valley, Anguilla.
*   **Office Hours:** Monday to Friday, 8:00 a.m. to 3:00 p.m.

**How can I assist you with general information today?** For example, I can provide guidance on:
*   How to register as a taxpayer.
*   How to apply for or renew a business licence.
*   General information on GST, Property Tax, or the Universal Social Levy.
*   How to use the IRD online portal."
2026-08-11T03:37:38.139534+00:00,db8ca4e8-18f0-4fcf-aba7-96fe7efc44b3,General Inquiry,en,None,False,我可以使用哪些付款方式缴纳税款或费用？,"您可以选择以下方式向安圭拉税务局 (Inland Revenue Department, 简称 IRD) 缴纳税款或费用：

**线下支付方式**
您可以前往税务局办公室，通过以下方式进行支付：
*   现金
*   支票
*   Visa 或 MasterCard 借记卡 (Debit Card)
*   Visa 或 MasterCard 信用卡 (Credit Card)

**线上支付方式**
*   **E-pay 门户网站：** 您可以通过官方的 E-pay 门户进行在线支付。
*   **银行转账：** 您可以向“缴税通知书”(Notice of Assessment) 上列出的安圭拉政府银行账户进行转账。

**重要提示**
*   税务局不会通过聊天窗口要求您提供银行账户、信用卡或借记卡详细信息。
*   请务必通过官方渠道进行支付，以确保您的资金安全。
*   如果您需要查询具体的应缴金额或账户余额，请登录 [Anguilla MyGovernment Portal](https://services.gov.ai) 或直接联系税务局办公室。

如需了解更多信息，请访问 [IRD 官方网站](https://ird.gov.ai/home/onlineportal)。"
2026-08-11T03:37:44.389337+00:00,714257ef-5a06-437c-bcae-2a160abfaad9,General Inquiry,en,Application for Special Liquor Licence,False,如何申请或续期酒类许可证？,"申请或续期酒类许可证 (Liquor Licence) 的程序如下：

**申请与续期流程**
1. **获取申请表：** 请访问税务局 (IRD) 的[表格与指南页面 (Forms and Guides)](https://ird.gov.ai/Forms) 下载相关的酒类许可证申请表或续期申请表。
2. **准备材料：** 按照表格要求准备所有必要的证明文件。
3. **提交申请：** 将填写完整的表格及相关材料提交至税务局。
4. **审核与办理：** 税务局将对您的申请进行审核。如果申请获得批准，您需要缴纳相应的许可费用，随后税务局将为您颁发许可证。

**重要说明**
*   **许可证要求：** 酒类许可证的申请和续期需符合安圭拉的相关法律规定。
*   **官方表格：** 请确保使用税务局官网提供的最新版本表格。
*   **费用与咨询：** 具体的许可费用取决于您的业务类型。如果您在申请过程中遇到问题，或需要了解特定业务的合规要求，请直接联系税务局办公室。

**联系税务局**
*   **办公地址：** Ground floor, Former NBA Building, The Valley, Anguilla
*   **办公时间：** 周一至周五，上午 8:00 至下午 3:00
*   **电话：** 264-497-8334
*   **电子邮件：** inlandrevenue@gov.ai

请注意，我无法为您处理申请、审批许可证或进行任何账户操作。建议您直接联系税务局以获取针对您个人情况的官方指导。"
2026-08-11T03:37:52.128201+00:00,8e7479ec-2064-40cb-98bc-15e36b39937d,GST / General Services Tax,en,None,False,什么是一般服务税（GST）？,"**什么是一般服务税 (General Services Tax)**

一般服务税 (General Services Tax，简称 GenST) 是针对注册企业在境内提供的服务所征收的一种税。

**核心要点**
*   **征税对象：** 由注册企业提供的应税服务。
*   **运作方式：** 企业在应税服务的价格基础上增加该税款，并将收取的税额汇缴给安圭拉政府。
*   **生效日期：** 该税种于 2025 年 8 月 1 日正式生效。

**重要提示**
*   **区分税种：** 请注意，一般服务税 (General Services Tax) 与商品及服务税 (Goods and Services Tax, GST) 是不同的税种。
*   **确认适用性：** 如果您不确定您的业务应缴纳哪种税款，或者不确定是否需要申报，请在申报前通过 [IRD 官方网站](https://ird.gov.ai/Home/Contact) 联系税务局进行确认。
*   **在线申报：** 您可以通过 [Anguilla MyGovernment Portal](https://services.gov.ai) 查看您的税务账户，确认您已注册的税种及相关申报要求。

如需了解更多详细信息，请访问 [IRD 一般服务税页面](https://ird.gov.ai/Services/Tax/GenST)。"
2026-08-11T10:34:42.544336+00:00,5cea7e81-2c41-4ee3-8142-e8ef145cc4b1,GST / General Services Tax,es,General Services Tax Return Form,False,¿Cómo presento una declaración del Impuesto General sobre Servicios (GST)?,"Para presentar una declaración del Impuesto General sobre Servicios (General Services Tax - GenST), puede utilizar el portal en línea del Departamento de Impuestos Internos (Inland Revenue Department - IRD).

**Pasos para presentar su declaración en línea:**

1.  Acceda al **[Portal de MyGovernment de Anguila](https://services.gov.ai)**.
2.  Inicie sesión en el portal del IRD.
3.  Seleccione el contribuyente o la empresa que representa.
4.  Visualizará sus impuestos y licencias activos; seleccione la cuenta correspondiente al **General Services Tax**.
5.  Siga las instrucciones en pantalla para completar y enviar su declaración.

**Información importante:**

*   **Plazo de presentación:** Las declaraciones mensuales del General Services Tax deben presentarse a más tardar el día 20 del mes siguiente. Si esta fecha cae en fin de semana o día festivo, el plazo se extiende al siguiente día hábil.
*   **Formularios:** Si necesita el formulario físico, puede encontrar el *General Services Tax Return Form* en la página oficial de [Formularios y Guías del IRD](https://ird.gov.ai/Forms).
*   **Asistencia:** Si su cuenta o la declaración no aparecen en el portal, o si tiene dudas sobre qué impuesto aplica a su negocio, por favor contacte directamente al IRD antes de realizar la presentación.

**Limitaciones:**
Como asistente virtual, no tengo acceso a sus registros tributarios, estados de cuenta, ni puedo presentar declaraciones en su nombre. Si experimenta problemas técnicos con el portal o necesita asistencia específica sobre su cuenta, le recomiendo comunicarse con el IRD:

*   **Teléfono:** 264-497-8334
*   **Correo electrónico:** inlandrevenue@gov.ai
*   **Ubicación:** Planta baja del edificio Former NBA, The Valley, Anguila."
2026-08-11T10:40:41.824291+00:00,02df9955-51e7-4634-be17-e796de151b10,General Inquiry,en,None,False,hi,"Hola. Soy A.I.D.A., el asistente virtual del Departamento de Impuestos Internos (Inland Revenue Department - IRD) de Anguila.

Estoy aquí para ayudarte con información sobre nuestros servicios, incluyendo:

*   **Impuestos:** Impuesto sobre Bienes y Servicios (GST), Impuesto General sobre Servicios (GenST), Impuesto Social Universal (USL) y Impuesto sobre la Propiedad.
*   **Licencias:** Licencias comerciales, de licor y de vehículos.
*   **Servicios en línea:** Cómo registrarse y utilizar el portal del IRD.
*   **Trámites:** Información sobre formularios, guías y procedimientos generales.

¿En qué puedo ayudarte hoy con tus impuestos o licencias?"
2026-08-11T13:36:21.824545+00:00,848bf892-27e8-4593-b7ab-89992d1e2304,General Inquiry,en,Application for Special Liquor Licence,False,hi,"Hello! I am the Inland Revenue Department (IRD) virtual assistant for Anguilla. I can provide information on our services, including:

*   **Tax Services:** Goods and Services Tax (GST), General Services Tax, Universal Social Levy (USL), and Property Tax.
*   **Licensing:** Business and Liquor Licences, and Motor Vehicle Licences.
*   **General Support:** How to register as a taxpayer, how to file returns, payment methods, and where to find official forms.

**How can I help you today?**

*Please note: I cannot access your personal taxpayer records, verify your identity, or process payments. For account-specific enquiries, please contact the IRD directly.*"
